group	type	value	Mean	SD
Negative	Organismal Systems	887.6327	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	880.0696	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	913.7335	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	2992.1691	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	3123.8334	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	3249.3417	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	3018.5509	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	3317.9134	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	3069.7463	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	2770.6709	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	3212.5759999999996	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	2569.802	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	2723.1897	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	3335.2294	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	2920.6217	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	2769.2617	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	3348.1571	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	3401.0051	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	2506.0883	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	2653.7834	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	2816.3557	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	3060.04	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	3125.0886	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	2977.6494	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	2998.8834	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	2853.4614	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	2884.7409	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	2773.772	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	2723.9249	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	2755.1571	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	2404.0457	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	2662.0494	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	3305.3179999999998	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	2855.1477	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	3401.0026	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	2833.112	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	3080.0014	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	2651.3203	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	3215.33	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	2311.2743	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	3061.2671	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	2422.8737	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	1343.4154	857.4743149572649	1053.1176437372178
